"PreSens Measurement Studio 2","2.0.0.28",""
"Date","Time","Channel","User","SensorID","Sensor_Name","delta_t","Time_Unit","Value","O2_Unit","Mode","Phase","Phase_Unit","Amplitude","Amplitude_Unit","Temp","Temp_Unit","Pressure","Pressure_Unit","Salinity","Salinity_Unit","Error","Cal0","Cal0_Unit","T0","T0_Unit","O2Cal2nd","O2_Unit","Cal2nd","Cal2nd_Unit","T2nd","T2nd_Unit","CalPressure","CalPressure_Unit","f1","dPhi1","dkSv1","dPhi2","dkSv2","m","Cal_Mode","SignalLEDCurrent","User_Signal_Intensity","ReferenceLEDCurrent","Reference_Amplitude","Device_Serial","FwVersion","SwVersion","Sensor_Type","BatchID","Calibration_Date","Sensor_Lot","PreSens_Calibr","Battery_Voltage","Battery_Voltage_Unit"
"06/03/2019","13:58:13","2","default","260018512","16_010","0.000","min","99.585","%a.s.","Humid","21.880","deg","54666","µV","22.257","°C","1022.000","hPa","0.0","pmil","0","53.617","deg","17.832","°C","100.000","%a.s.","23.576","deg","11.004","°C","1003.000","hPa","0.861","-0.02056","0.00035","0","0","13.56","Humid","25.42","0","5.11","366050.45","SABD0000000005","AAV1.0.0.11","2.0.0.28","PSt7-10","000000-000","5/16/2019 12:56:51 PM","0000-00","0","no battery","V"
"06/03/2019","13:58:18","2","default","260018512","16_010","0.080","min","99.543","%a.s.","Humid","21.884","deg","54731","µV","22.264","°C","1022.000","hPa","0.0","pmil","0","53.617","deg","17.832","°C","100.000","%a.s.","23.576","deg","11.004","°C","1003.000","hPa","0.861","-0.02056","0.00035","0","0","13.56","Humid","25.42","0","5.11","366027.45","SABD0000000005","AAV1.0.0.11","2.0.0.28","PSt7-10","000000-000","5/16/2019 12:56:51 PM","0000-00","0","no battery","V"
"06/03/2019","13:58:23","2","default","260018512","16_010","0.163","min","99.539","%a.s.","Humid","21.884","deg","54785","µV","22.267","°C","1022.000","hPa","0.0","pmil","0","53.617","deg","17.832","°C","100.000","%a.s.","23.576","deg","11.004","°C","1003.000","hPa","0.861","-0.02056","0.00035","0","0","13.56","Humid","25.42","0","5.11","365923.26","SABD0000000005","AAV1.0.0.11","2.0.0.28","PSt7-10","000000-000","5/16/2019 12:56:51 PM","0000-00","0","no battery","V"
"06/03/2019","13:58:28","2","default","260018512","16_010","0.246","min","99.469","%a.s.","Humid","21.892","deg","54757","µV","22.267","°C","1022.000","hPa","0.0","pmil","0","53.617","deg","17.832","°C","100.000","%a.s.","23.576","deg","11.004","°C","1003.000","hPa","0.861","-0.02056","0.00035","0","0","13.56","Humid","25.42","0","5.11","365999.95","SABD0000000005","AAV1.0.0.11","2.0.0.28","PSt7-10","000000-000","5/16/2019 12:56:51 PM","0000-00","0","no battery","V"
"06/03/2019","13:58:33","2","default","260018512","16_010","0.330","min","99.491","%a.s.","Humid","21.891","deg","54847","µV","22.255","°C","1022.000","hPa","0.0","pmil","0","53.617","deg","17.832","°C","100.000","%a.s.","23.576","deg","11.004","°C","1003.000","hPa","0.861","-0.02056","0.00035","0","0","13.56","Humid","25.42","0","5.11","365919.41","SABD0000000005","AAV1.0.0.11","2.0.0.28","PSt7-10","000000-000","5/16/2019 12:56:51 PM","0000-00","0","no battery","V"
"06/03/2019","13:58:38","2","default","260018512","16_010","0.413","min","99.483","%a.s.","Humid","21.893","deg","54733","µV","22.246","°C","1022.000","hPa","0.0","pmil","0","53.617","deg","17.832","°C","100.000","%a.s.","23.576","deg","11.004","°C","1003.000","hPa","0.861","-0.02056","0.00035","0","0","13.56","Humid","25.42","0","5.11","365897.58","SABD0000000005","AAV1.0.0.11","2.0.0.28","PSt7-10","000000-000","5/16/2019 12:56:51 PM","0000-00","0","no battery","V"
"06/03/2019","13:58:43","2","default","260018512","16_010","0.497","min","99.509","%a.s.","Humid","21.888","deg","53928","µV","22.262","°C","1022.000","hPa","0.0","pmil","0","53.617","deg","17.832","°C","100.000","%a.s.","23.576","deg","11.004","°C","1003.000","hPa","0.861","-0.02056","0.00035","0","0","13.56","Humid","25.42","0","5.11","365886.96","SABD0000000005","AAV1.0.0.11","2.0.0.28","PSt7-10","000000-000","5/16/2019 12:56:51 PM","0000-00","0","no battery","V"
"06/03/2019","13:58:48","2","default","260018512","16_010","0.580","min","99.449","%a.s.","Humid","21.895","deg","54997","µV","22.261","°C","1022.000","hPa","0.0","pmil","0","53.617","deg","17.832","°C","100.000","%a.s.","23.576","deg","11.004","°C","1003.000","hPa","0.861","-0.02056","0.00035","0","0","13.56","Humid","25.42","0","5.11","365919.40","SABD0000000005","AAV1.0.0.11","2.0.0.28","PSt7-10","000000-000","5/16/2019 12:56:51 PM","0000-00","0","no battery","V"
"06/03/2019","13:58:53","2","default","260018512","16_010","0.663","min","99.434","%a.s.","Humid","21.897","deg","54994","µV","22.258","°C","1022.000","hPa","0.0","pmil","0","53.617","deg","17.832","°C","100.000","%a.s.","23.576","deg","11.004","°C","1003.000","hPa","0.861","-0.02056","0.00035","0","0","13.56","Humid","25.42","0","5.11","365825.41","SABD0000000005","AAV1.0.0.11","2.0.0.28","PSt7-10","000000-000","5/16/2019 12:56:51 PM","0000-00","0","no battery","V"
"06/03/2019","13:58:58","2","default","260018512","16_010","0.747","min","99.431","%a.s.","Humid","21.897","deg","54970","µV","22.261","°C","1022.000","hPa","0.0","pmil","0","53.617","deg","17.832","°C","100.000","%a.s.","23.576","deg","11.004","°C","1003.000","hPa","0.861","-0.02056","0.00035","0","0","13.56","Humid","25.42","0","5.11","365822.04","SABD0000000005","AAV1.0.0.11","2.0.0.28","PSt7-10","000000-000","5/16/2019 12:56:51 PM","0000-00","0","no battery","V"
