"PreSens Measurement Studio 2","2.0.0.28",""
"Date","Time","Channel","User","SensorID","Sensor_Name","delta_t","Time_Unit","Value","O2_Unit","Mode","Phase","Phase_Unit","Amplitude","Amplitude_Unit","Temp","Temp_Unit","Pressure","Pressure_Unit","Salinity","Salinity_Unit","Error","Cal0","Cal0_Unit","T0","T0_Unit","O2Cal2nd","O2_Unit","Cal2nd","Cal2nd_Unit","T2nd","T2nd_Unit","CalPressure","CalPressure_Unit","f1","dPhi1","dkSv1","dPhi2","dkSv2","m","Cal_Mode","SignalLEDCurrent","User_Signal_Intensity","ReferenceLEDCurrent","Reference_Amplitude","Device_Serial","FwVersion","SwVersion","Sensor_Type","BatchID","Calibration_Date","Sensor_Lot","PreSens_Calibr","Battery_Voltage","Battery_Voltage_Unit"
"06/10/2019","14:38:33","7","default","87854877","16_008","0.000","min","11.179","ppm (mg/L)","Humid","23.135","deg","74843","µV","11.628","°C","1028.000","hPa","0.0","pmil","0","54.740","deg","18.041","°C","100.000","%a.s.","23.579","deg","10.734","°C","1017.000","hPa","0.861","-0.02056","0.00035","0","0","13.56","Humid","26.67","0","7.35","359553.76","SABD0000000005","AAV1.0.0.11","2.0.0.28","PSt7-10","000000-000","6/6/2019 9:40:58 AM","0000-00","0","no battery","V"
"06/10/2019","14:38:38","7","default","87854877","16_008","0.080","min","11.171","ppm (mg/L)","Humid","23.137","deg","74876","µV","11.643","°C","1028.000","hPa","0.0","pmil","0","54.740","deg","18.041","°C","100.000","%a.s.","23.579","deg","10.734","°C","1017.000","hPa","0.861","-0.02056","0.00035","0","0","13.56","Humid","26.67","0","7.35","359570.13","SABD0000000005","AAV1.0.0.11","2.0.0.28","PSt7-10","000000-000","6/6/2019 9:40:58 AM","0000-00","0","no battery","V"
"06/10/2019","14:38:43","7","default","87854877","16_008","0.164","min","11.167","ppm (mg/L)","Humid","23.138","deg","74906","µV","11.652","°C","1028.000","hPa","0.0","pmil","0","54.740","deg","18.041","°C","100.000","%a.s.","23.579","deg","10.734","°C","1017.000","hPa","0.861","-0.02056","0.00035","0","0","13.56","Humid","26.67","0","7.35","359589.75","SABD0000000005","AAV1.0.0.11","2.0.0.28","PSt7-10","000000-000","6/6/2019 9:40:58 AM","0000-00","0","no battery","V"
"06/10/2019","14:38:48","7","default","87854877","16_008","0.247","min","11.162","ppm (mg/L)","Humid","23.146","deg","74968","µV","11.644","°C","1028.000","hPa","0.0","pmil","0","54.740","deg","18.041","°C","100.000","%a.s.","23.579","deg","10.734","°C","1017.000","hPa","0.861","-0.02056","0.00035","0","0","13.56","Humid","26.67","0","7.35","359668.77","SABD0000000005","AAV1.0.0.11","2.0.0.28","PSt7-10","000000-000","6/6/2019 9:40:58 AM","0000-00","0","no battery","V"
"06/10/2019","14:38:53","7","default","87854877","16_008","0.331","min","11.156","ppm (mg/L)","Humid","23.148","deg","74978","µV","11.654","°C","1028.000","hPa","0.0","pmil","0","54.740","deg","18.041","°C","100.000","%a.s.","23.579","deg","10.734","°C","1017.000","hPa","0.861","-0.02056","0.00035","0","0","13.56","Humid","26.67","0","7.35","359705.47","SABD0000000005","AAV1.0.0.11","2.0.0.28","PSt7-10","000000-000","6/6/2019 9:40:58 AM","0000-00","0","no battery","V"
"06/10/2019","14:38:58","7","default","87854877","16_008","0.414","min","11.162","ppm (mg/L)","Humid","23.142","deg","74987","µV","11.655","°C","1028.000","hPa","0.0","pmil","0","54.740","deg","18.041","°C","100.000","%a.s.","23.579","deg","10.734","°C","1017.000","hPa","0.861","-0.02056","0.00035","0","0","13.56","Humid","26.67","0","7.35","359707.15","SABD0000000005","AAV1.0.0.11","2.0.0.28","PSt7-10","000000-000","6/6/2019 9:40:58 AM","0000-00","0","no battery","V"
"06/10/2019","14:39:03","7","default","87854877","16_008","0.497","min","11.156","ppm (mg/L)","Humid","23.143","deg","75012","µV","11.666","°C","1028.000","hPa","0.0","pmil","0","54.740","deg","18.041","°C","100.000","%a.s.","23.579","deg","10.734","°C","1017.000","hPa","0.861","-0.02056","0.00035","0","0","13.56","Humid","26.67","0","7.35","359724.21","SABD0000000005","AAV1.0.0.11","2.0.0.28","PSt7-10","000000-000","6/6/2019 9:40:58 AM","0000-00","0","no battery","V"
"06/10/2019","14:39:08","7","default","87854877","16_008","0.580","min","11.153","ppm (mg/L)","Humid","23.146","deg","75029","µV","11.666","°C","1028.000","hPa","0.0","pmil","0","54.740","deg","18.041","°C","100.000","%a.s.","23.579","deg","10.734","°C","1017.000","hPa","0.861","-0.02056","0.00035","0","0","13.56","Humid","26.67","0","7.35","359726.98","SABD0000000005","AAV1.0.0.11","2.0.0.28","PSt7-10","000000-000","6/6/2019 9:40:58 AM","0000-00","0","no battery","V"
"06/10/2019","14:39:13","7","default","87854877","16_008","0.664","min","11.157","ppm (mg/L)","Humid","23.149","deg","75046","µV","11.650","°C","1028.000","hPa","0.0","pmil","0","54.740","deg","18.041","°C","100.000","%a.s.","23.579","deg","10.734","°C","1017.000","hPa","0.861","-0.02056","0.00035","0","0","13.56","Humid","26.67","0","7.35","359709.11","SABD0000000005","AAV1.0.0.11","2.0.0.28","PSt7-10","000000-000","6/6/2019 9:40:58 AM","0000-00","0","no battery","V"
"06/10/2019","14:39:18","7","default","87854877","16_008","0.747","min","11.153","ppm (mg/L)","Humid","23.150","deg","75065","µV","11.657","°C","1028.000","hPa","0.0","pmil","0","54.740","deg","18.041","°C","100.000","%a.s.","23.579","deg","10.734","°C","1017.000","hPa","0.861","-0.02056","0.00035","0","0","13.56","Humid","26.67","0","7.35","359662.90","SABD0000000005","AAV1.0.0.11","2.0.0.28","PSt7-10","000000-000","6/6/2019 9:40:58 AM","0000-00","0","no battery","V"
"06/10/2019","14:39:23","7","default","87854877","16_008","0.830","min","11.148","ppm (mg/L)","Humid","23.150","deg","75064","µV","11.671","°C","1028.000","hPa","0.0","pmil","0","54.740","deg","18.041","°C","100.000","%a.s.","23.579","deg","10.734","°C","1017.000","hPa","0.861","-0.02056","0.00035","0","0","13.56","Humid","26.67","0","7.35","359692.12","SABD0000000005","AAV1.0.0.11","2.0.0.28","PSt7-10","000000-000","6/6/2019 9:40:58 AM","0000-00","0","no battery","V"
"06/10/2019","14:39:28","7","default","87854877","16_008","0.913","min","11.145","ppm (mg/L)","Humid","23.156","deg","75071","µV","11.664","°C","1028.000","hPa","0.0","pmil","0","54.740","deg","18.041","°C","100.000","%a.s.","23.579","deg","10.734","°C","1017.000","hPa","0.861","-0.02056","0.00035","0","0","13.56","Humid","26.67","0","7.35","359704.64","SABD0000000005","AAV1.0.0.11","2.0.0.28","PSt7-10","000000-000","6/6/2019 9:40:58 AM","0000-00","0","no battery","V"
"06/10/2019","14:39:33","7","default","87854877","16_008","0.997","min","11.144","ppm (mg/L)","Humid","23.156","deg","75084","µV","11.665","°C","1028.000","hPa","0.0","pmil","0","54.740","deg","18.041","°C","100.000","%a.s.","23.579","deg","10.734","°C","1017.000","hPa","0.861","-0.02056","0.00035","0","0","13.56","Humid","26.67","0","7.35","359702.68","SABD0000000005","AAV1.0.0.11","2.0.0.28","PSt7-10","000000-000","6/6/2019 9:40:58 AM","0000-00","0","no battery","V"
"06/10/2019","14:39:38","7","default","87854877","16_008","1.081","min","11.141","ppm (mg/L)","Humid","23.160","deg","75092","µV","11.664","°C","1028.000","hPa","0.0","pmil","0","54.740","deg","18.041","°C","100.000","%a.s.","23.579","deg","10.734","°C","1017.000","hPa","0.861","-0.02056","0.00035","0","0","13.56","Humid","26.67","0","7.35","359719.11","SABD0000000005","AAV1.0.0.11","2.0.0.28","PSt7-10","000000-000","6/6/2019 9:40:58 AM","0000-00","0","no battery","V"
